ID_Commercant,Zone_Dakar,Secteur_Activite,Volume_Mensuel_FCFA,Evolution_Ventes_3M_Pct,Nb_Transferts_Recus_Mois,Anciennete_Mois,Defaut_Paiement
SN-0081,Marche Sandaga,Services,1174885.0,3.3938384812742544,197,72.0,0
SN-0082,Guediawaye,Habillement,1798116.0,-16.418451110432425,54,33.0,0
SN-0083,Parcelles Assainies,Alimentation,1470968.0,,1,92.0,0
SN-0084,PIKINE,Habillement,890873.0,54.38722765330414,82,82.0,0
SN-0085,Marche Sandaga,Habillement,977923.0,-6.27931187063912,176,113.0,0
SN-0086,Marche Sandaga,Électronique,1090731.0,10.188757444907154,172,112.0,0
SN-0087,Parcelles Assainies,Habillement,1768693.0,-18.03919135912373,71,54.0,0
SN-0088,PIKINE,Alimentation,1003703.0,-12.18935751222488,111,26.0,0
SN-0089,Parcelles Assainies,Services,1256256.0,-32.49560482919977,147,72.0,0
SN-0090,Parcelles Assainies,Restauration,879428.0,3.856372556629768,102,66.0,0
SN-0091,Ouakam,Électronique,599613.0,19.7039542021718,145,75.0,0
SN-0092,Guediawaye,Électronique,743764.0,9.83515998731449,62,47.0,1
SN-0093,Guediawaye,Restauration,792743.0,21.3053933682744,54,25.0,1
SN-0094,PIKINE,Habillement,1325771.0,9.788907138574288,166,106.0,0
SN-0095, Pikine ,Restauration,223106.0,-15.334534667430013,128,108.0,0
SN-0096,Medina,Restauration,1694197.0,-17.634291488808262,162,109.0,0
SN-0097,Medina,Électronique,670901.0,-17.751200118734204,119,63.0,0
SN-0098,Parcelles Assainies,Habillement,1370758.0,-11.719633347248546,127,94.0,0
SN-0099,Ouakam,Alimentation,1314299.0,-23.22057367176612,35,3.0,0
SN-0100,Marché Sandaga,Habillement,1613821.0,1.0404766584021783,115,59.0,0
SN-0101,PIKINE,Électronique,1077580.0,5.235978419140342,10,39.0,0
SN-0102,Parcelles Assainies,Services,1402626.0,20.403821568195436,92,69.0,0
SN-0103,Guediawaye,Électronique,1281634.0,-42.52265465607272,160,79.0,0
SN-0104,PIKINE,Services,888878.0,-32.20718352344885,35,78.0,0
SN-0105,Ouakam,Électronique,623100.0,-12.840218039496019,59,8.0,1
SN-0106,Medina,Électronique,453104.0,20.418303293923795,77,100.0,0
SN-0107,Medina,Habillement,1744122.0,-12.152812899008252,139,114.0,0
SN-0108, Pikine ,Alimentation,56378.0,-26.573813755173603,62,17.0,0
SN-0109,Parcelles Assainies,Habillement,675200.0,20.033793037397977,97,112.0,0
SN-0110,Marche Sandaga,Habillement,1798031.0,14.983351593565402,180,117.0,0
SN-0111,Pikine,Alimentation,1789280.0,27.995650437002297,69,113.0,0
SN-0112,Ouakam,Habillement,577232.0,25.8719080362942,124,56.0,0
SN-0113,Marché Sandaga,nan,536728.0,4.319147375316002,36,86.0,0
SN-0114,Ouakam,Électronique,636157.0,22.31087960671421,56,66.0,0
SN-0115,PIKINE,Restauration,1589510.0,19.54475311953155,99,95.0,0
SN-0116,PIKINE,Électronique,232103.0,8.968619145281732,191,-2.0,0
SN-0117,Guediawaye,Électronique,414873.0,1.14855138268838,28,18.0,0
SN-0118,PIKINE,Alimentation,1605908.0,,27,2.0,1
SN-0119,Medina,Services,1026455.0,25.859222898187596,159,23.0,0
SN-0120,Marche Sandaga,Restauration,415385.0,-14.966982605325557,176,83.0,0
SN-0121,Marché Sandaga,Services,823157.0,22.653469680520267,80,65.0,0
SN-0122,Yoff,Restauration,1181492.0,,90,26.0,0
SN-0123,Pikine,Alimentation,1644272.0,-9.544026111198033,81,35.0,0
SN-0124,Yoff,Électronique,823777.0,19.848023336695398,152,116.0,0
SN-0125,Medina,Habillement,1426551.0,-5.703520000683034,42,3.0,0
SN-0126, Pikine ,Électronique,1368422.0,0.5906576432968533,183,-4.0,0
SN-0127,Marche Sandaga,Électronique,1442394.0,-22.094249500318163,34,97.0,0
SN-0128,Ouakam,Restauration,1325197.0,-39.16682703517079,32,51.0,0
SN-0129,Guediawaye,Électronique,1225468.0,7.082813057966631,22,117.0,0
SN-0130,Yoff,Services,1302561.0,11.25731756169004,162,4.0,0
SN-0131, Pikine ,Services,943914.0,-21.470262522043804,36,61.0,1
SN-0132,Ouakam,Services,436039.0,32.773343024131414,114,60.0,1
SN-0133,Pikine,Restauration,1086749.0,15.385832926492586,13,75.0,0
SN-0134,PIKINE,Habillement,1716591.0,-0.2810386927134154,133,42.0,1
SN-0135,Yoff,Services,1826190.0,0.8768190298186993,10,48.0,0
SN-0136,Medina,Restauration,1719281.0,-19.299762705863284,0,82.0,0
SN-0137,Parcelles Assainies,Alimentation,808630.0,-26.55835447046103,107,0.0,1
SN-0138, Pikine ,Restauration,1984645.0,20.38155947401663,138,70.0,0
SN-0139,Pikine,Restauration,1132975.0,,132,54.0,0
SN-0140,Marche Sandaga,Alimentation,726254.0,26.181340862007218,13,108.0,0
SN-0141, Pikine ,Services,934440.0,42.97664190777419,179,55.0,0
SN-0142,PIKINE,Services,107139.0,-11.681405358689146,43,52.0,1
SN-0143,Yoff,Restauration,957928.0,19.65402298989749,145,119.0,0
SN-0144,Marché Sandaga,Électronique,527629.0,-5.042205486214018,22,73.0,0
SN-0145,Marché Sandaga,nan,1483564.0,9.010339532076275,63,46.0,0
SN-0146,Marché Sandaga,Restauration,546721.0,-35.34531960966394,12,12.0,1
SN-0147,Yoff,Alimentation,320508.0,-7.51258336910486,17,19.0,1
SN-0148,Pikine,Électronique,293194.0,10.113216230171423,194,11.0,0
SN-0149,Marché Sandaga,Électronique,1008254.0,7.972823458450251,9,23.0,1
SN-0150,Medina,Alimentation,782832.0,-28.38602288108868,151,17.0,1
SN-0151,Marché Sandaga,Services,979577.0,-17.30935164351177,133,115.0,0
SN-0152,Yoff,Habillement,1075891.0,8.192480701272295,115,27.0,0
SN-0153, Pikine ,Alimentation,1315559.0,-5.8028550875078855,194,60.0,0
SN-0154,Parcelles Assainies,Alimentation,350592.0,-18.106175412209605,43,5.0,1
SN-0155,Yoff,Services,134032.0,,155,24.0,1
SN-0156, Pikine ,Électronique,853759.0,-15.724699587127747,55,115.0,0
SN-0157,Yoff,Habillement,263983.0,9.088030406318712,110,119.0,0
SN-0158,Medina,Habillement,1103474.0,4.159725828417799,49,-5.0,1
SN-0159,Marché Sandaga,Restauration,1663633.0,10.948454458314934,148,-2.0,0
SN-0160,Ouakam,Restauration,1360111.0,8.859890205377576,194,102.0,0
SN-0161,PIKINE,Habillement,718132.0,30.62340072659001,87,28.0,1
SN-0162,Marché Sandaga,Électronique,1389361.0,6.964956240695476,194,20.0,0
SN-0163,Marché Sandaga,Services,1232579.0,-8.826386741888468,111,99.0,0
SN-0164,Marché Sandaga,Restauration,1371066.0,42.128697237432334,82,52.0,0
SN-0165,Marche Sandaga,Restauration,458509.0,3.274943876705232,192,37.0,1
SN-0166,Guediawaye,Habillement,1557488.0,19.885045680977704,193,112.0,0
SN-0167,PIKINE,Alimentation,477685.0,-44.28087893401383,113,65.0,1
SN-0168,Medina,Habillement,1882702.0,2.8714445472720933,65,81.0,0
SN-0169,Marché Sandaga,Habillement,1964872.0,10.809643819641918,61,7.0,0
SN-0170,Guediawaye,Restauration,169520.0,-36.1298846203386,125,78.0,0
SN-0171,PIKINE,Habillement,253316.0,1.943786583709239,130,19.0,1
SN-0172,PIKINE,Restauration,527842.0,10.74673888396087,170,14.0,1
SN-0173,PIKINE,Électronique,1537629.0,6.591775419272223,154,75.0,0
SN-0174,Yoff,Services,924774.0,-46.90980813728724,16,103.0,0
SN-0175,Yoff,Électronique,27135.0,4.818333378894532,65,31.0,1
SN-0176,Pikine,Habillement,1034150.0,13.505665307409632,0,73.0,0
SN-0177,Pikine,Habillement,989738.0,22.639146876877952,15,29.0,0
SN-0178,Pikine,Restauration,11287.0,-14.095884411547585,174,35.0,0
SN-0179,PIKINE,Habillement,1761.0,3.0154408699601443,38,47.0,0
SN-0180,Yoff,Restauration,208358.0,16.892757829953283,161,76.0,1
SN-0181,Yoff,Habillement,1421926.0,19.88324287057582,24,27.0,0
SN-0182, Pikine ,Alimentation,1041341.0,26.79538284750521,197,45.0,1
SN-0183,Yoff,Habillement,829410.0,6.240910590995846,162,16.0,0
SN-0184,Ouakam,Services,104241.0,12.406574225773868,117,8.0,1
SN-0185,Medina,Alimentation,986487.0,-18.694055934198236,88,76.0,0
SN-0186,Pikine,Habillement,505476.0,5.896775972762379,57,74.0,0
SN-0187,Ouakam,Restauration,1392970.0,-12.58796716744879,115,47.0,0
SN-0188,Medina,Électronique,1233031.0,14.923963386875984,124,-4.0,1
SN-0189,Yoff,Restauration,1376630.0,1.021261200766321,99,35.0,1
SN-0190,Ouakam,Alimentation,1857378.0,-0.35959964022917557,106,48.0,0
SN-0191,Yoff,Habillement,294503.0,5.254089074182207,129,45.0,0
SN-0192,Parcelles Assainies,Électronique,595812.0,-9.422849554306286,70,68.0,0
SN-0193,Pikine,Habillement,444521.0,7.900458967753831,155,97.0,0
SN-0194,Marche Sandaga,Restauration,84922.0,28.627860497078746,29,75.0,0
SN-0195,Yoff,Restauration,703148.0,-3.307321034174215,160,27.0,0
SN-0196,Parcelles Assainies,Restauration,1648690.0,23.516709762887853,149,62.0,0
SN-0197,Ouakam,Alimentation,865924.0,-5.731200262572892,156,98.0,0
SN-0198,Parcelles Assainies,Alimentation,1363780.0,-16.188479709747014,127,7.0,0
SN-0199,Ouakam,Électronique,124125.0,-2.630354268358622,146,31.0,0
SN-0200,Guediawaye,Restauration,1872966.0,35.9721840137549,141,6.0,0
SN-0201,Marché Sandaga,Habillement,543535.0,-23.135457147958558,70,45.0,0
SN-0202,Parcelles Assainies,Électronique,132145.0,-7.559834835981032,185,43.0,0
SN-0203,Guediawaye,Alimentation,1990092.0,42.66833128432067,126,117.0,0
SN-0204,Ouakam,Alimentation,1858389.0,-31.891638520721663,81,45.0,0
SN-0205,Ouakam,Électronique,1105141.0,,160,38.0,1
SN-0206,Pikine,nan,1518554.0,-0.16995912840246877,92,72.0,0
SN-0207,Yoff,Services,1397981.0,18.33673879297663,77,103.0,0
SN-0208,Yoff,Électronique,1547449.0,-22.077520085371912,83,9.0,0
SN-0209,Guediawaye,Services,1736925.0,34.53571397992176,74,108.0,0
SN-0210,Marché Sandaga,Restauration,516593.0,-11.156993907102459,172,11.0,0
SN-0211,Marche Sandaga,Habillement,39767.0,-51.8581156301377,165,30.0,0
SN-0212, Pikine ,Électronique,851967.0,-4.806099047739459,64,63.0,0
SN-0213,Marché Sandaga,Habillement,1018580.0,1.935413237344892,143,7.0,0
SN-0214,Pikine,Services,768482.0,,80,71.0,0
SN-0215,Yoff,Habillement,391144.0,29.83669228138242,182,89.0,0
SN-0216, Pikine ,Électronique,775557.0,-0.9117926458689196,36,24.0,1
SN-0217,Medina,Restauration,578014.0,0.558472390280279,130,92.0,0
SN-0218,Ouakam,Habillement,1563257.0,-41.333050027890565,1,33.0,0
SN-0219,PIKINE,Habillement,1598448.0,-5.699255850971285,16,1.0,0
SN-0220,Pikine,Habillement,1477877.0,4.382050387312779,19,14.0,0
SN-0221, Pikine ,nan,19740.0,-2.9357845987979925,59,67.0,1
SN-0222,Marche Sandaga,Habillement,1530053.0,-18.973182506188266,80,23.0,0
SN-0223,Medina,nan,1235146.0,-17.3971686967563,71,37.0,0
SN-0224,Yoff,Électronique,1918809.0,5.286951648398616,121,-4.0,0
SN-0225,PIKINE,Services,1211568.0,35.79038243670158,61,92.0,0
SN-0226,Parcelles Assainies,Habillement,834731.0,1.5810244154790423,46,68.0,0
SN-0227,Medina,Services,207157.0,6.665849399260717,110,75.0,0
SN-0228,Medina,Services,1046800.0,9.168717050145487,103,-5.0,0
SN-0229,PIKINE,Habillement,1101391.0,-1.4902623954015524,123,24.0,0
SN-0230,Pikine,Électronique,175716.0,1.7233429796319963,157,87.0,1
SN-0231,Marche Sandaga,Restauration,651799.0,-16.126932747767764,146,9.0,0
SN-0232,Ouakam,Électronique,1581830.0,-15.771809793365817,124,77.0,0
SN-0233,Yoff,Services,172599.0,11.729544630036743,42,-3.0,1
SN-0234,Guediawaye,nan,1849467.0,-5.816342074255254,36,56.0,0
SN-0235,Medina,Alimentation,327344.0,1.78594934914199,4,96.0,0
SN-0236,Marché Sandaga,Restauration,334140.0,-35.37338633082542,31,105.0,0
SN-0237,Ouakam,Alimentation,1121586.0,0.6722294314060593,42,101.0,0
SN-0238, Pikine ,nan,589500.0,,118,46.0,0
SN-0239,Medina,Habillement,402830.0,18.933446252054228,173,54.0,1
SN-0240, Pikine ,Électronique,124985.0,-17.866489495515474,100,62.0,1
SN-0241,Parcelles Assainies,Habillement,521075.0,,191,96.0,1
SN-0242,Guediawaye,Services,217323.0,7.601192038877147,113,69.0,1
SN-0243,Marché Sandaga,Alimentation,892740.0,16.210977798606503,81,51.0,0
SN-0244,Ouakam,Alimentation,838502.0,-17.260333951299543,15,111.0,0
SN-0245,Yoff,Habillement,1301422.0,-21.172446309505464,58,93.0,0
SN-0246,Pikine,Alimentation,641385.0,9.29218342496476,188,14.0,1
SN-0247,Marche Sandaga,Alimentation,17860.0,20.655100516566982,81,65.0,0
SN-0248,PIKINE,Électronique,485877.0,7.371768648950221,39,95.0,0
SN-0249,Guediawaye,Services,1226439.0,-34.59859815310725,22,45.0,0
SN-0250,Guediawaye,Restauration,37690.0,22.43980845478134,197,-5.0,1
SN-0251,Guediawaye,Alimentation,1330660.0,30.61444516950797,20,0.0,0
SN-0252,Guediawaye,Habillement,1642747.0,24.060622688516208,5,87.0,0
SN-0253,Ouakam,Services,1236906.0,-24.48792012508286,180,33.0,0
SN-0254,Guediawaye,Restauration,331013.0,-14.617160859572822,32,65.0,1
SN-0255,Guediawaye,Électronique,1734699.0,-26.398819695277705,96,102.0,0
SN-0256,Pikine,Restauration,1164321.0,10.67076248730125,134,27.0,0
SN-0257,Pikine,Électronique,1096264.0,0.7641298800579315,168,66.0,0
SN-0258,PIKINE,Services,519901.0,2.8594873082387706,79,40.0,0
SN-0259,Guediawaye,Habillement,1305274.0,11.545354980289469,158,75.0,0
SN-0260,Ouakam,Habillement,546796.0,7.732370116651545,172,19.0,0
SN-0261,Marche Sandaga,Services,556519.0,,50,47.0,1
SN-0262,Ouakam,Services,1214516.0,29.22060840735313,180,100.0,0
SN-0263,Marche Sandaga,Alimentation,775222.0,8.965148660749495,14,37.0,1
SN-0264,PIKINE,Habillement,726860.0,24.65534006551544,78,58.0,0
SN-0265,Ouakam,Alimentation,38530.0,-3.2529392368704553,87,106.0,0
SN-0266,Medina,Services,179922.0,9.231923826745343,10,80.0,1
SN-0267,Marche Sandaga,Restauration,1702197.0,-4.681842997936501,115,94.0,0
SN-0268,Marché Sandaga,Services,1013770.0,14.817725613884399,77,95.0,0
SN-0269,Guediawaye,nan,1500711.0,20.516859232883068,161,49.0,0
SN-0270,Marché Sandaga,Restauration,432439.0,12.314794080814991,66,-5.0,1
SN-0271,Marché Sandaga,Alimentation,452415.0,12.109776570089714,92,51.0,0
SN-0272,Marché Sandaga,Services,1989905.0,-11.286681368914621,59,74.0,0
SN-0273,Ouakam,Habillement,155359.0,8.36414222441596,129,94.0,0
SN-0274,Ouakam,Alimentation,1565965.0,30.77436747515093,128,88.0,0
SN-0275, Pikine ,Électronique,1922861.0,-25.19678999786497,117,33.0,1
SN-0276,PIKINE,Électronique,865467.0,13.15821418952731,66,29.0,0
SN-0277,Yoff,Électronique,1171686.0,1.856109334673155,199,28.0,0
SN-0278, Pikine ,Services,982102.0,23.592473453576734,70,13.0,1
SN-0279,Parcelles Assainies,Restauration,1459446.0,10.698113374240737,30,118.0,0
SN-0280,Medina,Alimentation,1575805.0,7.6564205676125985,22,88.0,0
SN-0281,Marche Sandaga,Restauration,78834.0,13.834799598891172,39,44.0,1
SN-0282,Guediawaye,Services,1961603.0,0.2989480493127048,8,71.0,0
SN-0283,Marche Sandaga,Restauration,493049.0,-1.978551033310254,89,9.0,1
SN-0284,Medina,Alimentation,496141.0,18.82759723954654,40,110.0,0
SN-0285,Ouakam,Services,1387567.0,17.372526501275605,104,104.0,0
SN-0286,Yoff,Habillement,97049.0,-10.673290955943322,87,83.0,0
SN-0287,Pikine,Services,1817698.0,45.52284265266603,75,85.0,0
SN-0288,Ouakam,Alimentation,52448.0,12.243452079246834,46,37.0,0
SN-0289,Marché Sandaga,Électronique,1982422.0,-31.521139471433184,143,50.0,0
SN-0290,Medina,Habillement,1352585.0,-21.6106771074886,66,47.0,0
SN-0291,Yoff,Services,1535694.0,-5.154472640848847,59,0.0,1
SN-0292,Yoff,nan,409770.0,0.2144873950379117,43,106.0,0
SN-0293,Medina,Restauration,1124810.0,31.015357687711415,153,39.0,0
SN-0294,Marche Sandaga,Restauration,1418849.0,-3.5621579594555635,43,105.0,0
SN-0295,Ouakam,Électronique,1620604.0,41.19856421319497,162,110.0,0
SN-0296,PIKINE,Alimentation,647498.0,2.8500095922719106,93,29.0,1
SN-0297,Marché Sandaga,Habillement,1835377.0,41.80687315759572,104,119.0,0
SN-0298,Ouakam,Alimentation,893502.0,-6.434537905437328,159,64.0,0
SN-0299,Ouakam,Électronique,1059617.0,13.665191100205199,56,77.0,0
SN-0300,Pikine,Alimentation,697968.0,-51.8760219026354,17,36.0,0
SN-0301,Medina,Alimentation,165897.0,-22.134570176568637,166,45.0,0
SN-0302,Pikine,Services,808299.0,-13.89668248194231,157,75.0,0
SN-0303,Parcelles Assainies,Électronique,1305858.0,7.2389334674545145,110,66.0,1
SN-0304,Pikine,Alimentation,1403063.0,11.654086224847012,63,18.0,0
SN-0305,Medina,Services,656475.0,3.7059314978403273,12,54.0,0
SN-0306,Guediawaye,Alimentation,1135798.0,22.096559044254516,126,71.0,0
SN-0307, Pikine ,Restauration,818027.0,,18,119.0,0
SN-0308,Marche Sandaga,Habillement,1356782.0,-3.754394702556392,17,99.0,0
SN-0309,Guediawaye,Alimentation,137661.0,36.88602268395339,145,26.0,0
SN-0310,Yoff,Services,1278597.0,-5.1854750350399135,25,118.0,0
SN-0311,PIKINE,Habillement,743685.0,4.931700177679124,12,52.0,0
SN-0312, Pikine ,Alimentation,1078378.0,-18.29604352554185,68,87.0,1
SN-0313,Yoff,nan,1691529.0,-7.849411821241878,41,38.0,0
SN-0314,PIKINE,Alimentation,212172.0,-23.88543533370367,45,27.0,0
SN-0315,Pikine,Habillement,1665133.0,11.708449200758457,15,21.0,0
SN-0316,Medina,Électronique,1594410.0,-35.459289203623044,27,70.0,0
SN-0317,Ouakam,Alimentation,242777.0,-29.921946724181897,171,45.0,1
SN-0318,Marché Sandaga,Services,922762.0,-2.2798524294574483,106,80.0,0
SN-0319,Medina,Habillement,1986212.0,27.28790859352783,4,59.0,0
SN-0320,Marché Sandaga,Restauration,1613121.0,-8.199820708797445,80,13.0,0
SN-0321,Parcelles Assainies,Électronique,1380964.0,-6.138399196598257,21,24.0,0
SN-0322,Marché Sandaga,Habillement,765377.0,15.44740518624753,108,31.0,1
SN-0323,Marché Sandaga,nan,761726.0,-24.423514304557475,129,2.0,0
SN-0324,Parcelles Assainies,Habillement,1431295.0,,87,33.0,0
SN-0325,Marché Sandaga,Habillement,1447668.0,9.742093184486206,172,85.0,0
SN-0326,Marché Sandaga,Électronique,1089326.0,-27.748778808630213,107,8.0,0
SN-0327,Yoff,Habillement,733041.0,-12.960206253131341,150,65.0,0
SN-0328, Pikine ,Restauration,1852523.0,2.1895060543449545,88,17.0,0
SN-0329,PIKINE,Restauration,718751.0,48.19856296777756,10,1.0,1
SN-0330,Medina,Restauration,625982.0,-14.975092649967932,81,60.0,0
SN-0331,Parcelles Assainies,Alimentation,182518.0,6.388309093245583,157,30.0,0
SN-0332,Yoff,Habillement,1686435.0,-17.688412547447214,19,100.0,0
SN-0333,Guediawaye,Restauration,824460.0,-21.328994292212485,89,43.0,0
SN-0334,Marche Sandaga,Services,1967747.0,-12.116550305248033,11,-5.0,0
SN-0335,Ouakam,Habillement,614948.0,-5.634628119136665,135,30.0,1
SN-0336, Pikine ,Alimentation,1105826.0,,58,21.0,1
SN-0337,Ouakam,Restauration,471054.0,1.9782773756620688,82,27.0,0
SN-0338,Pikine,Services,935726.0,18.449485969188608,20,24.0,1
SN-0339,Marche Sandaga,Habillement,843354.0,15.722305335827475,40,102.0,0
SN-0340, Pikine ,Habillement,901489.0,10.066112208138783,139,-3.0,1
SN-0341,Parcelles Assainies,Restauration,766999.0,58.78599832609062,45,44.0,0
SN-0342,Marche Sandaga,Alimentation,1744633.0,24.060504456473524,0,59.0,0
SN-0343,Yoff,Services,686533.0,22.95536050261046,46,25.0,1
SN-0344,PIKINE,nan,756764.0,7.688993460013485,118,32.0,1
SN-0345,Parcelles Assainies,Restauration,1569053.0,-22.89863833759442,46,67.0,0
SN-0346,Medina,Alimentation,20923.0,3.7754694031016123,8,45.0,1
SN-0347,Pikine,Restauration,737360.0,-55.521196651121336,52,25.0,0
SN-0348,Guediawaye,Services,1867720.0,32.68627712437785,81,48.0,0
SN-0349,Ouakam,Services,496638.0,21.721852402607507,123,20.0,0
SN-0350,Guediawaye,Alimentation,1073928.0,-14.343518471288881,94,113.0,0
SN-0351,Ouakam,Services,537951.0,33.299467551987064,184,-3.0,1
SN-0352,Guediawaye,Électronique,1175107.0,1.7079895864206547,179,16.0,1
